label,key,wave,stance_1,stance_2,polarity,explicitness,strength,topic_1,topic_2,topic_conf_1,topic_conf_2,assigned_prob_1,assigned_prob_2
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c0ac91fae56c6ec3,1,I choose chicken and turkey for health,I eat lean beef to reduce fat,positive,explicit,60,3,-1,1.0,0.170872751836342,1.0,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c0ac91fae56c6ec3,1,I eat lean beef to reduce fat,I reduce beef or pork when dieting,positive,explicit,80,-1,7,0.170872751836342,1.0,,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c0ac91fae56c6ec3,1,I eat lean beef to reduce fat,I think chicken and turkey are healthier,positive,implicit,50,-1,3,0.170872751836342,0.4951256980733234,,0.4951256980733234
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c0ac91fae56c6ec3,1,I like the taste of meat,I eat meat every day,positive,explicit,90,24,17,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c0ac91fae56c6ec3,1,I like the taste of meat,I prefer beef for hamburgers and sloppy joes,positive,explicit,90,24,3,1.0,0.2358609041143866,1.0,0.2358609041143866
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c0ac91fae56c6ec3,1,I like the taste of meat,Social contacts like the taste of meat,positive,explicit,70,24,16,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c0ac91fae56c6ec3,1,I eat meat every day,Those around me eat meat regularly,positive,explicit,75,17,27,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c0ac91fae56c6ec3,1,I prefer beef for hamburgers and sloppy joes,I think chicken and turkey are healthier,negative,explicit,70,3,3,0.2358609041143866,0.4951256980733234,0.2358609041143866,0.4951256980733234
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c0ac91fae56c6ec3,1,I prefer beef for hamburgers and sloppy joes,I choose chicken and turkey for health,negative,explicit,70,3,3,0.2358609041143866,1.0,0.2358609041143866,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c0ac91fae56c6ec3,1,I like the taste of meat,I choose chicken and turkey for health,negative,implicit,60,24,3,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c0ac91fae56c6ec3,1,I prefer beef for hamburgers and sloppy joes,I reduce beef or pork when dieting,negative,explicit,65,3,7,0.2358609041143866,1.0,0.2358609041143866,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c0ac91fae56c6ec3,1,I eat lean beef to reduce fat,I prefer beef for hamburgers and sloppy joes,negative,explicit,60,-1,3,0.170872751836342,0.2358609041143866,,0.2358609041143866
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c0ac91fae56c6ec3,1,I think chicken and turkey are healthier,I reduce beef or pork when dieting,positive,explicit,70,3,7,0.4951256980733234,1.0,0.4951256980733234,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,8f96fa223f234180,1,I am concerned about my health,I have tried to cut back on processed meat,positive,explicit,90,6,2,1.0,0.0260479790693528,1.0,0.0252052652393774
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,8f96fa223f234180,1,I am concerned about my health,I have tried to cut back on red meat,positive,explicit,95,6,2,1.0,0.0330313664489114,1.0,0.0330313664489114
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,8f96fa223f234180,1,I am concerned about my health,I want to improve cholesterol and blood work,positive,explicit,100,6,-1,1.0,0.088902495988626,1.0,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,8f96fa223f234180,1,I eat more chicken and fish now,I have tried to cut back on red meat,positive,explicit,85,3,2,0.9130499370754954,0.0330313664489114,0.9130499370754954,0.0330313664489114
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,8f96fa223f234180,1,"I am fond of chicken, turkey, and fish",I eat more chicken and fish now,positive,explicit,80,3,3,0.8008714653946505,0.9130499370754954,0.8008714653946505,0.9130499370754954
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,8f96fa223f234180,1,I do not control grocery shopping or meal planning,I have tried to cut back on red meat,negative,explicit,90,-1,2,0.0311691731376806,0.0330313664489114,,0.0330313664489114
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,8f96fa223f234180,1,I do not control grocery shopping or meal planning,I have tried to cut back on processed meat,negative,explicit,80,-1,2,0.0311691731376806,0.0260479790693528,,0.0252052652393774
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,8f96fa223f234180,1,I eat meat whenever I choose to,I do not control grocery shopping or meal planning,positive,implicit,40,18,-1,1.0,0.0311691731376806,1.0,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,8f96fa223f234180,1,I eat meat whenever I choose to,I eat more chicken and fish now,positive,implicit,35,18,3,1.0,0.9130499370754954,1.0,0.9130499370754954
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,8f96fa223f234180,1,I eat meat whenever I choose to,I have tried to cut back on processed meat,negative,implicit,30,18,2,1.0,0.0260479790693528,1.0,0.0252052652393774
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,8f96fa223f234180,1,I eat meat whenever I choose to,I have tried to cut back on red meat,negative,implicit,30,18,2,1.0,0.0330313664489114,1.0,0.0330313664489114
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,8f96fa223f234180,1,I have tried to cut back on processed meat,I have tried to cut back on red meat,positive,implicit,50,2,2,0.0260479790693528,0.0330313664489114,0.0252052652393774,0.0330313664489114
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,8f96fa223f234180,1,I have tried to cut back on red meat,I want to improve cholesterol and blood work,positive,explicit,95,2,-1,0.0330313664489114,0.088902495988626,0.0330313664489114,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,8f96fa223f234180,1,I have tried to cut back on processed meat,I want to improve cholesterol and blood work,positive,implicit,60,2,-1,0.0260479790693528,0.088902495988626,0.0252052652393774,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,24e9f4a8dba444ba,1,Eating meat feels natural to me,Eating meat is a habit for me,positive,explicit,95,-1,-1,0.0766299160650562,0.0492630651543746,,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,24e9f4a8dba444ba,1,Eating meat is a habit for me,I have always eaten and cooked with meat,positive,explicit,90,-1,18,0.0492630651543746,0.2468702260175712,,0.2468702260175712
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,24e9f4a8dba444ba,1,I have always eaten and cooked with meat,My parents cooked with meat,positive,explicit,95,18,1,0.2468702260175712,0.3238063183104874,0.2468702260175712,0.3238063183104874
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,24e9f4a8dba444ba,1,I eat a lot of chicken,I eat meat 1-2 times a day,positive,explicit,90,-1,15,0.228757944094484,1.0,,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,24e9f4a8dba444ba,1,Eating meat is a habit for me,Most friends and family eat meat,positive,explicit,80,-1,9,0.0492630651543746,0.216702743987118,,0.216702743987118
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,24e9f4a8dba444ba,1,Most friends and family eat meat,My parents cooked with meat,positive,implicit,60,9,1,0.216702743987118,0.3238063183104874,0.216702743987118,0.3238063183104874
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,24e9f4a8dba444ba,1,Eating meat is a habit for me,I eat meat 1-2 times a day,positive,implicit,80,-1,15,0.0492630651543746,1.0,,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,24e9f4a8dba444ba,1,Eating meat feels natural to me,I have always eaten and cooked with meat,positive,explicit,90,-1,18,0.0766299160650562,0.2468702260175712,,0.2468702260175712
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,24e9f4a8dba444ba,1,I get bored with the same meals,I enjoy the challenge of vegetarian cooking,positive,explicit,87,-1,4,0.1704136503636572,0.3672185432915162,,0.3672185432915162
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,24e9f4a8dba444ba,1,I get bored with the same meals,I have always eaten and cooked with meat,negative,explicit,55,-1,18,0.1704136503636572,0.2468702260175712,,0.2468702260175712
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,24e9f4a8dba444ba,1,I enjoy the challenge of vegetarian cooking,I have always eaten and cooked with meat,negative,implicit,45,4,18,0.3672185432915162,0.2468702260175712,0.3672185432915162,0.2468702260175712
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,24e9f4a8dba444ba,1,I reduce meat when it is expensive,I have always eaten and cooked with meat,negative,explicit,50,-1,18,0.4301966769933703,0.2468702260175712,,0.2468702260175712
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,24e9f4a8dba444ba,1,I enjoy the challenge of vegetarian cooking,I reduce meat when it is expensive,positive,implicit,30,4,-1,0.3672185432915162,0.4301966769933703,0.3672185432915162,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,24e9f4a8dba444ba,1,Eating meat feels natural to me,I get bored with the same meals,negative,implicit,30,-1,-1,0.0766299160650562,0.1704136503636572,,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,5d5930b9486b3aef,1,Chicken and pork are less expensive than beef,I buy more meat when it is on sale,positive,explicit,90,0,0,0.661639063012623,0.2153304720613902,0.661639063012623,0.2153304720613902
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,5d5930b9486b3aef,1,Chicken and pork are less expensive than beef,I eat mostly chicken,positive,explicit,75,0,21,0.661639063012623,1.0,0.661639063012623,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,5d5930b9486b3aef,1,Chicken and pork are less expensive than beef,I prefer chicken and fish,positive,implicit,60,0,3,0.661639063012623,1.0,0.661639063012623,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,5d5930b9486b3aef,1,I eat mostly chicken,I find chicken easier to digest than beef,positive,explicit,95,21,3,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,5d5930b9486b3aef,1,I eat mostly chicken,I find steak hard to chew,positive,explicit,80,21,22,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,5d5930b9486b3aef,1,I eat mostly chicken,I prefer chicken and fish,positive,explicit,100,21,3,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,5d5930b9486b3aef,1,I eat mostly chicken,I buy more meat when it is on sale,positive,implicit,55,21,0,1.0,0.2153304720613902,1.0,0.2153304720613902
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,5d5930b9486b3aef,1,I find chicken easier to digest than beef,I prefer chicken and fish,positive,explicit,95,3,3,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,5d5930b9486b3aef,1,I find chicken easier to digest than beef,I find steak hard to chew,positive,explicit,75,3,22,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,5d5930b9486b3aef,1,I find chicken easier to digest than beef,I buy more meat when it is on sale,positive,implicit,35,3,0,1.0,0.2153304720613902,1.0,0.2153304720613902
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,5d5930b9486b3aef,1,I find steak hard to chew,I prefer chicken and fish,positive,explicit,75,22,3,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,5d5930b9486b3aef,1,I prefer chicken and fish,I buy more meat when it is on sale,positive,implicit,40,3,0,1.0,0.2153304720613902,1.0,0.2153304720613902
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c64e457f6d99d425,1,I eat meat when I feel like it,I sometimes choose to cut back on meat,positive,explicit,80,20,2,1.0,0.026575353270565,1.0,0.0243875056354587
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c64e457f6d99d425,1,I eat meat when I feel like it,Meat consumption is a personal preference,positive,explicit,90,20,-1,1.0,0.427089831239566,1.0,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,c64e457f6d99d425,1,I sometimes choose to cut back on meat,Meat consumption is a personal preference,positive,explicit,90,2,-1,0.026575353270565,0.427089831239566,0.0243875056354587,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,0ec83457dd9ad9bb,1,I crave meat,I enjoy eating meat regularly,positive,explicit,90,22,-1,1.0,0.0127396986028344,1.0,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,0ec83457dd9ad9bb,1,I enjoy eating meat regularly,Meat tastes delicious to me,positive,explicit,90,-1,-1,0.0127396986028344,0.0534200853593205,,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,0ec83457dd9ad9bb,1,I crave meat,Meat tastes delicious to me,positive,explicit,80,22,-1,1.0,0.0534200853593205,1.0,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,0ec83457dd9ad9bb,1,I enjoy eating meat regularly,Most people I know eat meat regularly,positive,implicit,40,-1,27,0.0127396986028344,1.0,,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,cd254873c8c70b1f,1,I crave meat more during holidays,I eat more meat at gatherings,positive,explicit,90,22,19,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,cd254873c8c70b1f,1,I eat more meat at gatherings,I enjoy eating meat,positive,explicit,85,19,-1,1.0,0.0126084463064393,1.0,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,cd254873c8c70b1f,1,I eat more meat at gatherings,My family are big meat eaters,positive,explicit,80,19,1,1.0,0.7130914800316963,1.0,0.7130914800316963
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,cd254873c8c70b1f,1,I eat more meat at gatherings,My friends enjoy eating meat,positive,explicit,60,19,9,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,cd254873c8c70b1f,1,I enjoy eating meat,My friends enjoy eating meat,positive,explicit,85,-1,9,0.0126084463064393,1.0,,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,cd254873c8c70b1f,1,I enjoy eating meat,My family are big meat eaters,positive,explicit,85,-1,1,0.0126084463064393,0.7130914800316963,,0.7130914800316963
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,cd254873c8c70b1f,1,I enjoy eating meat,I want to be healthier,negative,explicit,65,-1,8,0.0126084463064393,0.2589117475204271,,0.2589117475204271
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,cd254873c8c70b1f,1,I want to be healthier,My brother reduces meat for health reasons,positive,explicit,70,8,-1,0.2589117475204271,0.2251974202577354,0.2589117475204271,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,cd254873c8c70b1f,1,I want to be healthier,My family are big meat eaters,negative,explicit,40,8,1,0.2589117475204271,0.7130914800316963,0.2589117475204271,0.7130914800316963
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,cd254873c8c70b1f,1,I want to be healthier,My friends enjoy eating meat,negative,implicit,30,8,9,0.2589117475204271,1.0,0.2589117475204271,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,cd254873c8c70b1f,1,My brother reduces meat for health reasons,My family are big meat eaters,negative,explicit,70,-1,1,0.2251974202577354,0.7130914800316963,,0.7130914800316963
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,cd254873c8c70b1f,1,My family are big meat eaters,My friends enjoy eating meat,positive,explicit,60,1,9,0.7130914800316963,1.0,0.7130914800316963,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,673d057ee91b91d4,1,Family habits from childhood influence my eating,I eat predominantly meat with each meal,positive,explicit,90,1,19,0.0763423733133628,1.0,0.0763423733133628,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,673d057ee91b91d4,1,Family habits from childhood influence my eating,My family serves meat at meals,positive,explicit,95,1,1,0.0763423733133628,0.2700746713318183,0.0763423733133628,0.2700746713318183
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,673d057ee91b91d4,1,I believe meat is essential for health,I eat predominantly meat with each meal,positive,explicit,95,11,19,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,673d057ee91b91d4,1,I believe meat is essential for health,I feel better when I eat more meat,positive,explicit,90,11,20,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,673d057ee91b91d4,1,I believe meat is essential for health,I follow a low-carb diet,positive,implicit,50,11,7,1.0,0.2094442418876942,1.0,0.2094442418876942
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,673d057ee91b91d4,1,I eat predominantly meat with each meal,I feel better when I eat more meat,positive,explicit,100,19,20,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,673d057ee91b91d4,1,I eat predominantly meat with each meal,I follow a low-carb diet,positive,explicit,90,19,7,1.0,0.2094442418876942,1.0,0.2094442418876942
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,673d057ee91b91d4,1,I feel better when I eat more meat,I follow a low-carb diet,positive,explicit,85,20,7,1.0,0.2094442418876942,1.0,0.2094442418876942
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,673d057ee91b91d4,1,My family serves meat at meals,I eat predominantly meat with each meal,positive,explicit,70,1,19,0.2700746713318183,1.0,0.2700746713318183,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,673d057ee91b91d4,1,My family serves meat at meals,I follow a low-carb diet,positive,implicit,40,1,7,0.2700746713318183,0.2094442418876942,0.2700746713318183,0.2094442418876942
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,7cf1b08e24b10350,1,Chicken is cheap and convenient,Family eats more chicken for cost reasons,positive,explicit,90,21,21,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,7cf1b08e24b10350,1,Chicken is cheap and convenient,I eat a lot of chicken,positive,explicit,85,21,-1,1.0,0.226116888690248,1.0,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,7cf1b08e24b10350,1,Chicken is cheap and convenient,Meat is expensive for me,positive,implicit,80,21,0,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,7cf1b08e24b10350,1,Family eats more chicken for cost reasons,I eat a lot of chicken,positive,implicit,75,21,-1,1.0,0.226116888690248,1.0,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,7cf1b08e24b10350,1,Family eats more chicken for cost reasons,Meat is expensive for me,positive,explicit,85,21,0,1.0,1.0,1.0,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,7cf1b08e24b10350,1,I enjoy cooking meat at home,I love eating meat,positive,explicit,95,26,-1,1.0,0.0230861345983064,1.0,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,7cf1b08e24b10350,1,I eat a lot of chicken,Meat is expensive for me,positive,implicit,75,-1,0,0.226116888690248,1.0,,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,7cf1b08e24b10350,1,I enjoy cooking meat at home,I prefer real meat over substitutes,positive,implicit,60,26,0,1.0,0.0868888942486361,1.0,0.0868888942486361
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,7cf1b08e24b10350,1,I got food poisoning from fast food bacon,I avoid fast food bacon,positive,explicit,100,-1,-1,0.1171897269155591,0.0468323550533352,,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,7cf1b08e24b10350,1,I love eating meat,I prefer real meat over substitutes,positive,explicit,85,-1,0,0.0230861345983064,0.0868888942486361,,0.0868888942486361
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,7cf1b08e24b10350,1,I enjoy cooking meat at home,I avoid fast food bacon,positive,explicit,70,26,-1,1.0,0.0468323550533352,1.0,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,7cf1b08e24b10350,1,I enjoy cooking meat at home,I got food poisoning from fast food bacon,positive,explicit,60,26,-1,1.0,0.1171897269155591,1.0,
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,bd14752573c3fbed,1,Eating meat is mostly out of habit,I eat meat at most meals,positive,explicit,70,-1,19,0.0497383485400334,1.0,,1.0
01__all-MiniLM-L6-v2__run_20260210_222546_aeba978b,bd14752573c3fbed,1,Eating meat is mostly out of habit,My family eats similar meals as me,positive,implicit,50,-1,1,0.0497383485400334,0.210538496066521,,0.210538496066521
