Topic,Count,Name,Representation,Representative_Docs
11,98,11_health_concerned_concerned health_concerns,"['health', 'concerned', 'concerned health', 'concerns', 'cholesterol', 'health concerns', 'health concerned', 'concerned health concerned', 'concerned cholesterol', 'heart']","['I am concerned about my health', 'I am concerned about health', 'I am concerned about health']"
12,97,12_protein meat_meat_meat easy_easy,"['protein meat', 'meat', 'meat easy', 'easy', 'protein', 'source', 'meals', 'easier', 'good', 'source protein']","['Meat is a good source of protein', 'Meat is a good source of protein', 'Meat is a good source of protein']"
13,96,13_want_weight_motivated_weight want,"['want', 'weight', 'motivated', 'weight want', 'lose', 'lose weight', 'motivated health', 'health', 'healthy', 'want lose']","['I want to lose weight', 'I want to lose weight', 'I want to lose weight']"
14,95,14_times_week_week eat_meat times,"['times', 'week', 'week eat', 'meat times', 'eat meat times', 'weekly', 'weekly eat', 'eat', 'week eat meat', 'eat meat']","['I eat meat a few times a week', 'I eat meat 2-4 times a week', 'I eat meat several times a week']"
15,92,15_buy_cook_home_choose,"['buy', 'cook', 'home', 'choose', 'grassfed', 'prefer', 'meat', 'buy meat', 'meats', 'try']","['I buy meat on sale', 'I buy more meat when it is on sale', 'I buy meat when it is on sale']"
16,89,16_diet_food_balanced_balanced diet,"['diet', 'food', 'balanced', 'balanced diet', 'picky', 'variety', 'picky eater', 'foods', 'mindful', 'eater']","['I want a balanced diet', 'I want a balanced diet', 'I want a more balanced diet']"
17,88,17_environmental_concerned_impact_environmental impact,"['environmental', 'concerned', 'impact', 'environmental impact', 'concerned environmental', 'environment', 'concerned environmental impact', 'environment concerned', 'impact concerned', 'environmental impact concerned']","['I am concerned about environmental impact', 'I am concerned about environmental impact', 'I am concerned about environmental impact']"
18,86,18_taste meat_taste_enjoy taste meat_enjoy taste,"['taste meat', 'taste', 'enjoy taste meat', 'enjoy taste', 'taste meat enjoy', 'meat enjoy taste', 'meat enjoy', 'enjoy', 'like taste meat', 'like taste']","['I enjoy the taste of meat', 'I enjoy the taste of meat', 'I enjoy the taste of meat']"
19,82,19_wife_husband_partner_prefers,"['wife', 'husband', 'partner', 'prefers', 'boyfriend', 'eats', 'meat wife', 'meat husband', 'eating', 'husband prefers']","['My husband prefers eating meat', 'My wife prefers red meat', 'My wife eats the same as I do']"
20,79,20_grew_grew eating_raised_grew eating meat,"['grew', 'grew eating', 'raised', 'grew eating meat', 'eating', 'raised eating', 'eating meat', 'meat grew', 'raised eating meat', 'meat grew eating']","['I grew up eating meat', 'We grew up eating meat', 'I grew up eating meat']"
21,63,21_enjoy eating_enjoy eating meat_meat enjoy eating_enjoy,"['enjoy eating', 'enjoy eating meat', 'meat enjoy eating', 'enjoy', 'eating meat enjoy', 'meat enjoy', 'eating meat', 'eating', 'meat love', 'meat']","['I enjoy eating meat', 'I enjoy eating meat', 'I enjoy eating meat']"
22,53,22_protein_meat protein_eat meat protein_protein eat,"['protein', 'meat protein', 'eat meat protein', 'protein eat', 'protein eat meat', 'meat protein eat', 'eat meat', 'eat', 'iron', 'meat']","['I eat meat for protein', 'I eat meat for protein', 'I eat meat for protein']"
