Topic,Count,Keywords,RepDoc1,RepDoc2,RepDoc3,RepDoc4,RepDoc5
19,53,"rarely, rarely eat, eat, meals, meatless, rarely eats meat, rarely eats, meat rarely eat, rarely eat meat, meat rarely",I sometimes eat no meat,My roommate rarely eats meat,My parents rarely ate red meat,I eat very little processed meat,I rarely eat pork
20,52,"expensive, meat expensive, expensive meat, prices, meat prices, meat expensive meat, expensive meat expensive, high, red meat expensive, high meat prices",Meat is expensive,Meat is expensive for me,Meat is sometimes expensive,Meat for breakfast is expensive,Cost of meat is expensive
21,51,"avoid, meats avoid, avoid eating, pork avoid, processed, meats avoid eating, avoid processed, meats, pork, meat avoid",I avoid processed meat products,I avoid greasy meats,I avoid foods that cause allergies,I avoid beef,I avoid high-carbohydrate foods
22,49,"concerned animal, concerned animal welfare, welfare, animal welfare, animal, animal welfare concerned, welfare concerned, welfare concerned animal, concerned, animal rights",I am concerned about animal rights,I thought briefly about animal welfare,I am concerned about animal welfare,I have concerns about animal welfare,My family is concerned about animal welfare
23,49,"choices, meat choices, influences, important, price, sourced, ethically sourced meat, ethically sourced, sourced meat, health",I consider ethical meat consumption important,I balance meat intake for health,I believe meat is essential for health,Meat affordability influences my choices,Friends require ethically sourced meat
24,48,"considered, reducing meat, considered reducing meat, considered reducing, reducing, eat pork, influence, meat social contacts, social, meat social",My meals are not influenced by others,Social contacts do not influence my choices,I am not influenced by others,I have not considered reducing meat consumption,My family has not reduced meat consumption
25,47,"meat family, enjoys, family, enjoys eating meat, enjoys eating, loves, eating meat, likes, family enjoys, eating",My husband loves steak and pork,My husband likes eating meat,My daughter also loves meat,My family likes to eat meat,My family likes meat
26,47,"environmental, concerns, impact, environmental impact, concerns meat, health, concerned, environmental impact meat, impact meat, health concerns",Environmental concerns about beef production,I have health concerns about processed meat,I care about environmental impact of meat sourcing,I am concerned about health problems from meat,I consider environmental impacts of eating meat
27,47,"unhealthy, meat unhealthy, red meat unhealthy, feel, believe, red meat, red, believe red, believe red meat, think",I believe pork is unclean,I hear meat is bad for the planet,Red meat makes me feel sleepy,I believe red meat is unhealthy,I think red meat is unhealthy
28,43,"dislike, like, meat dislike, dislike taste, dislikes, taste, dont like, did, taste like, dont like eating",I dislike the taste of fish,My wife cannot tolerate beef,I dislike how animals are treated,I dislike the taste of beef and pork,Pork does not agree with my stomach
29,42,"plantbased, plantbased foods, vegetables, eat plantbased, eat vegetables, foods, eat plantbased foods, try plantbased, fish, include plantbased",I eat more vegetables now,I eat more plant-based foods,I try to eat more vegetables,I am trying to eat more vegetables,I include plant-based proteins in meals
30,40,"occasionally, usually, eat meat lunch, meat lunch, lunch, meat occasionally, eat meat occasionally, dinner, eat meat, eat",I eat meat for lunch and dinner,I eat beef occasionally,I eat meat occasionally,My meals usually include meat,I reward myself with steak occasionally
31,39,"animal, welfare, animal welfare, animals, care animal welfare, care animal, care, motivated animal, motivated animal welfare, respect",I prioritize animal welfare,I value humane treatment of animals,I prefer animal welfare perspectives,I value animal welfare,My respect for animals has grown
32,39,"avoid, avoid red meat, avoid red, red, red meat, avoid meat, avoid eating red, reasons, eating red, avoid eating",Some family avoid red meat for health,My husband avoids red meat,Some family members avoid pork,My wife avoids red meat,Vegetarian friends avoid meat for health
33,37,"diet, balanced, balanced diet, eat healthier, diet want, want balanced, healthy, healthier, want, want eat",I am very conscious about my diet,I want to eat healthier and add variety,I want a balanced diet,I try to eat healthier,I am mindful about nutrition now
34,36,"meat meal, meal, eat meat meal, meal eat, meat meal eat, know eats, meal eat meat, know eats meat, know, eats meat",I eat meat at every meal,I eat every type of meat,Everyone I know eats meat,I was raised eating meat with every meal,I eat meat with every meal
35,35,"like taste meat, like taste, meat like, meat like taste, like, taste meat like, taste meat, taste, texture meat, texture",I like the taste of meat,I really like processed meats,I like how meat is prepared,I like meat,I like how meat tastes
36,33,"cholesterol, limitations, financial limitations, financial, concerned cholesterol, high, high cholesterol, financial limitations concerned, cholesterol high, limitations concerned cholesterol",Doctor required me to watch fat intake,I am concerned about cholesterol,I have cholesterol concerns,My partner had high cholesterol levels,I have high blood pressure
37,32,"want eat meat, considered eating, considered eating meat, want avoid, try, want eat, meat considered eating, avoid, want, considered",I want to avoid weight gain,I wish I could be vegetarian,I hear doctors advise less meat,I try to eat less meat,I have considered eating less meat
38,31,"eat meat regularly, meat regularly, regularly, friends, friends eat meat, meat regularly family, regularly friends, meat regularly friends, regularly family, eat meat",People around me eat meat regularly,My friends eat meat regularly,My social group eats meat regularly,Some social contacts eat meat daily,My boyfriend eats steak frequently
39,30,"grew, grew eating, meat grew, grew eating meat, eating meat grew, meat grew eating, raised eating, raised, raised eating meat, meat raised",I was raised eating pork,I grew up eating meat,I was raised to eat meat with meals,I was raised eating meat,I learned meat-eating from childhood
40,28,"meat regularly eat, regularly eat meat, regularly eat, eat meat regularly, meat regularly, regularly, eat meat, eat, meat, routine eat",I eat various meats regularly,I eat meat regularly,I regularly eat meat,I eat common meat regularly,I am a regular meat eater
41,28,"family eats meat, eats meat, family eats, eats, family, eats meat regularly, regularly family, meal family eats, regularly, meat regularly family",Family meals always include meat,My family eats meat regularly,All my friends eat meat frequently,My daughter eats meat regularly,My family eats meat at every meal
42,26,"want reduce, reduce, want, cholesterol, cholesterol want, lower, reduce environmental, lower cholesterol, cholesterol want reduce, want reduce environmental",I want to reduce inflammation,I want to contribute less to climate change,I want to reduce dietary fat,I want to reduce environmental impact,I want to reduce cholesterol
